No.	Name	Tech_Rep	Sample_Weight	1/x dillution 	Genotype	Type	Ct	Given Conc (%)	Calc Conc (%)	Average	Copies_Dilution	Copies	Copies_eluted_vol	copies_g	log10
11	A1	1	0.43	10	Telfairia occidentalis	Unknown	19.36			6396.86	63968.6	62604.09	2253747.24	5215800.14	6.717320942
14	A2	1	0.65	10	Telfairia occidentalis	Unknown	20.37			3294.51	32945.1	31580.59	1136901.24	1752584	6.243678843
17	A3	1	0.53	10	Telfairia occidentalis	Unknown	19.73			5034.78	50347.8	48983.29	1763398.44	3307819.25	6.51954177
20	A4	1	0.38	10	Telfairia occidentalis	Unknown	19.52			5753.9	57539	56174.49	2022281.64	5338652.69	6.727431668
23	A5	1	0.45	10	Telfairia occidentalis	Unknown	19.73			5010.05	50100.5	48735.99	1754495.64	3856882.04	6.586236356
26	A6	1	0.51	10	Telfairia occidentalis	Unknown	19.45			6034.83	60348.3	58983.79	2123416.44	4147297.73	6.617765214
29	B1	1	0.39	5	Amaranthus hybridus	Unknown	19.21			7073.94	35369.7	34005.19	1224186.84	3147009.87	6.497898105
32	B2	1	0.71	5	Amaranthus hybridus	Unknown	19.03			7958.3	39791.5	38426.99	1383371.64	1962229.28	6.292749752
35	B3	1	0.54	5	Amaranthus hybridus	Unknown	18.91			8638.35	43191.75	41827.24	1505780.64	2797808.7	6.446818016
38	B4	1	0.57	5	Amaranthus hybridus	Unknown	18.48			11472.69	57363.45	55998.94	2015961.84	3506630.44	6.544889998
41	B5	1	0.62	5	Amaranthus hybridus	Unknown	18.84			9073.06	45365.3	44000.79	1584028.44	2539321	6.404717604
44	B6	1	0.66	5	Amaranthus hybridus	Unknown	18.87			8857.62	44288.1	42923.59	1545249.24	2331747.76	6.367681568
47	C1	1	0.86	5	Solanum macrocarpon	Unknown	19.38			6347.28	31736.4	30371.89	1093388.04	1267990.3	6.103115931
50	C2	1	0.78	5	Solanum macrocarpon	Unknown	19.23			7009.79	35048.95	33684.44	1212639.84	1561875.12	6.193646307
53	C3	1	0.78	5	Solanum macrocarpon	Unknown	19.29			6738.99	33694.95	32330.44	1163895.84	1487977.29	6.172596303
56	C4	1	0.86	5	Solanum macrocarpon	Unknown	19.2			7129.9	35649.5	34284.99	1234259.64	1439705.63	6.158273703
59	C5	1	0.86	5	Solanum macrocarpon	Unknown	19.12			7537.55	37687.75	36323.24	1307636.64	1521215.26	6.182190673
62	C6	1	0.96	5	Solanum macrocarpon	Unknown	19.37			6367	31835	30470.49	1096937.64	1137312.22	6.055879706
11	D1	1	0.8	5	Corchorus olitorius	Unknown	22.44			2051.59	10257.95	9462.07	340634.52	425474.04	5.628873067
14	D2	1	0.68	5	Corchorus olitorius	Unknown	22.06			2559.63	12798.15	12002.27	432081.72	631052.61	5.800065567
17	D3	1	0.68	5	Corchorus olitorius	Unknown	22.21			2352.22	11761.1	10965.22	394747.92	576526.83	5.760819523
20	D4	1	0.48	5	Corchorus olitorius	Unknown	22.66			1798.52	8992.6	8196.72	295081.92	608541.8	5.784290415
23	D5	1	0.61	5	Corchorus olitorius	Unknown	21.93			2767.89	13839.45	13043.57	469568.52	767143.47	5.884876593
26	D6	1	0.72	5	Corchorus olitorius	Unknown	22.17			2404.97	12024.85	11228.97	404242.92	563797.66	5.751123269
29	E1	1	0.7	5	Celosiea argentea	Unknown	23.93			845.19	4225.95	3430.07	123482.52	176605.43	5.247004052
32	E2	1	0.76	5	Celosiea argentea	Unknown	23.62			1015.82	5079.1	4283.22	154195.92	203424.7	5.308403684
35	E3	1	0.64	5	Celosiea argentea	Unknown	23.43			1138.42	5692.1	4896.22	176263.92	277013.86	5.442501499
38	E4	1	0.82	5	Celosiea argentea	Unknown	23.53			1071.33	5356.65	4560.77	164187.72	201457.33	5.304183074
41	E5	1	0.77	5	Celosiea argentea	Unknown	23.93			841.09	4205.45	3409.57	122744.52	159615.76	5.20307577
44	E6	1	0.67	5	Celosiea argentea	Unknown	23.72			957.87	4789.35	3993.47	143764.92	215120.34	5.332681476
